UNIQUE CODE (2018),STATE (2018),PARLIAMENT CONSTITUENCY CODE (2018),PARLIAMENT CONSTITUENCY NAME (2018),STATE CONSTITUENCY CODE (2018),STATE CONSTITUENCY NAME (2018),AREA (SQ KM),Notes
P. 160_N. 45,JOHOR,P. 160,JOHOR BAHRU,N. 45,STULANG,15,AS per 2018 Gazetted Redelineation
P. 161_N. 46,JOHOR,P. 161,PULAI,N. 46,PERLING,52,AS per 2018 Gazetted Redelineation
P. 161_N. 47,JOHOR,P. 161,PULAI,N. 47,KEMPAS,21,AS per 2018 Gazetted Redelineation
P. 162_N. 48,JOHOR,P. 162,ISKANDAR PUTERI,N. 48,SKUDAI,38,AS per 2018 Gazetted Redelineation
P. 162_N. 49,JOHOR,P. 162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,256,AS per 2018 Gazetted Redelineation
P. 163_N. 50,JOHOR,P. 163,KULAI,N. 50,BUKIT PERMAI,286,AS per 2018 Gazetted Redelineation
P. 163_N. 51,JOHOR,P. 163,KULAI,N. 51,BUKIT BATU,326,AS per 2018 Gazetted Redelineation
P. 163_N. 52,JOHOR,P. 163,KULAI,N. 52,SENAI,125,AS per 2018 Gazetted Redelineation
P. 164_N. 53,JOHOR,P. 164,PONTIAN,N. 53,BENUT,248,AS per 2018 Gazetted Redelineation
P. 164_N. 54,JOHOR,P. 164,PONTIAN,N. 54,PULAI SEBATANG,196,AS per 2018 Gazetted Redelineation
P. 165_N. 55,JOHOR,P. 165,TANJUNG PIAI,N. 55,PEKAN NANAS,212,AS per 2018 Gazetted Redelineation
P. 165_N. 56,JOHOR,P. 165,TANJUNG PIAI,N. 56,KUKUP,274,AS per 2018 Gazetted Redelineation
P. 167_N. 01,SABAH,P. 167,KUDAT,N. 01,BANGGI,1325.55,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 167_N. 02,SABAH,P. 167,KUDAT,N. 02,TANJONG KAPOR,230.64,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 167_N. 03,SABAH,P. 167,KUDAT,N. 03,PITAS,888.45,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 168_N. 04,SABAH,P. 168,KOTA MARUDU,N. 04,MATUNGGONG,797.23,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 168_N. 05,SABAH,P. 168,KOTA MARUDU,N. 05,TANDEK,1374.09,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 169_N. 06,SABAH,P. 169,KOTA BELUD,N. 06,TEMPASUK,436.63,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 169_N. 07,SABAH,P. 169,KOTA BELUD,N. 07,KADAMAIAN,831.36,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 169_N. 08,SABAH,P. 169,KOTA BELUD,N. 08,USUKAN,98.5,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 170_N. 09,SABAH,P. 170,TUARAN,N. 09,TAMPARULI,208.14,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 170_N. 10,SABAH,P. 170,TUARAN,N. 10,SULAMAN,148.84,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 170_N. 11,SABAH,P. 170,TUARAN,N. 11,KIULU,791.68,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 171_N. 12,SABAH,P. 171,SEPANGGAR,N. 12,KARAMBUNAI,69.72,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 171_N. 13,SABAH,P. 171,SEPANGGAR,N. 13,INANAM,202.72,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 172_N. 14,SABAH,P. 172,KOTA KINABALU,N. 14,LIKAS,20.27,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 172_N. 15,SABAH,P. 172,KOTA KINABALU,N. 15,API-API,15.81,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 172_N. 16,SABAH,P. 172,KOTA KINABALU,N. 16,LUYANG,19.49,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 173_N. 17,SABAH,P. 173,PUTATAN,N. 17,TANJONG ARU,47.88,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 173_N. 18,SABAH,P. 173,PUTATAN,N. 18,PETAGAS,23.56,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 174_N. 19,SABAH,P. 174,PENAMPANG,N. 19,KAPAYAN,32.53,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 174_N. 20,SABAH,P. 174,PENAMPANG,N. 20,MOYOG,40380,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 175_N. 21,SABAH,P. 175,PAPAR,N. 21,KAWANG,456.28,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 175_N. 22,SABAH,P. 175,PAPAR,N. 22,PANTAI MANIS,225,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 176_N. 23,SABAH,P. 176,KIMANIS,N. 23,BONGAWAN,408.12,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 176_N. 24,SABAH,P. 176,KIMANIS,N. 24,MEMBAKUT,378.04,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 177_N. 25,SABAH,P. 177,BEAUFORT,N. 25,KLIAS,500.94,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 177_N. 26,SABAH,P. 177,BEAUFORT,N. 26,KUALA PENYU,425.08,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 178_N. 27,SABAH,P. 178,SIPITANG,N. 27,LUMADAN,880.77,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 178_N. 28,SABAH,P. 178,SIPITANG,N. 28,SINDUMIN,2727.57,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 179_N. 29,SABAH,P. 179,RANAU,N. 29,KUNDASANG,1711.46,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 179_N. 30,SABAH,P. 179,RANAU,N. 30,KARANAAN,177.69,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 179_N. 31,SABAH,P. 179,RANAU,N. 31,PAGINATAN,1896.31,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 180_N. 32,SABAH,P. 180,KENINGAU,N. 32,TAMBUNAN,1338.93,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 180_N. 33,SABAH,P. 180,KENINGAU,N. 33,BINGKOR,861.15,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 180_N. 34,SABAH,P. 180,KENINGAU,N. 34,LIAWAN,277.02,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 181_N. 35,SABAH,P. 181,TENOM,N. 35,MELALAP,605.01,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 181_N. 36,SABAH,P. 181,TENOM,N. 36,KEMABONG,1797.84,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 182_N. 37,SABAH,P. 182,PENSIANGAN,N. 37,SOOK,2388.45,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 182_N. 38,SABAH,P. 182,PENSIANGAN,N. 38,NABAWAN,5936.93,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 183_N. 39,SABAH,P. 183,BELURAN,N. 39,SUGUT,3481.34,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 183_N. 40,SABAH,P. 183,BELURAN,N. 40,LABUK,4086.49,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 184_N. 41,SABAH,P. 184,LIBARAN,N. 41,GUM-GUM,762.65,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 184_N. 42,SABAH,P. 184,LIBARAN,N. 42,SUNGAI SIBUGA,83.18,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 185_N. 43,SABAH,P. 185,BATU SAPI,N. 43,SEKONG,552.12,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 185_N. 44,SABAH,P. 185,BATU SAPI,N. 44,KARAMUNTING,7.96,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 186_N. 45,SABAH,P. 186,SANDAKAN,N. 45,ELOPURA,31.88,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 186_N. 46,SABAH,P. 186,SANDAKAN,N. 46,TANJONG PAPAT,6.72,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 187_N. 47,SABAH,P. 187,KINABATANGAN,N. 47,KUAMUT,12917.53,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 187_N. 48,SABAH,P. 187,KINABATANGAN,N. 48,SUKAU,4959.51,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 188_N. 49,SABAH,P. 188,SILAM,N. 49,TUNGKU,3973.72,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 188_N. 50,SABAH,P. 188,SILAM,N. 50,LAHAD DATU,3166.45,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 188_N. 51,SABAH,P. 188,SILAM,N. 51,KUNAK,1109.22,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 189_N. 52,SABAH,P. 189,SEMPORNA,N. 52,SULABAYAN,234.75,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 189_N. 53,SABAH,P. 189,SEMPORNA,N. 53,SENALLANG,338.88,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 189_N. 54,SABAH,P. 189,SEMPORNA,N. 54,BUGAYA,542.83,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 190_N. 55,SABAH,P. 190,TAWAU,N. 55,BALUNG,1002.73,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 190_N. 56,SABAH,P. 190,TAWAU,N. 56,APAS,402.32,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 190_N. 57,SABAH,P. 190,TAWAU,N. 57,SRI TANJONG,30.89,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 191_N. 58,SABAH,P. 191,KALABAKAN,N. 58,MEROTAI,778.17,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 191_N. 59,SABAH,P. 191,KALABAKAN,N. 59,TANJONG BATU,2222.96,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
P. 191_N. 60,SABAH,P. 191,KALABAKAN,N. 60,SEBATIK,1488.35,"Since there is no redelineation, we use 2003 Gazetted Redelineation Report"
